STATE,STATE CODE,LGA,WARD,WARD CODE
BORNO,"""01",ABADAM,AREGE,10101
BORNO,"""01",ABADAM,BANOWA,10102
BORNO,"""01",ABADAM,BUSUNA,10103
BORNO,"""01",ABADAM,FOGUWA,10104
BORNO,"""01",ABADAM,JABULLAM,10105
BORNO,"""01",ABADAM,KESSA'A,10106
BORNO,"""01",ABADAM,KUDOKURGO,10107
BORNO,"""01",ABADAM,YAU,10108
BORNO,"""01",ABADAM,YAWA,10109
BORNO,"""01",ABADAM,YITIWA,10110
BORNO,"""01",ASKIRA UBA,ASKIRA EAST,10201
BORNO,"""01",ASKIRA UBA,DILLE HUYIM,10202
BORNO,"""01",ASKIRA UBA,HAUSARI ZADAWA,10203
BORNO,"""01",ASKIRA UBA,HAUSARI TAMPUL,10204
BORNO,"""01",ASKIRA UBA,LASSA,10205
BORNO,"""01",ASKIRA UBA,MUSSA,10206
BORNO,"""01",ASKIRA UBA,NGOHI,10207
BORNO,"""01",ASKIRA UBA,NGULDE,10208
BORNO,"""01",ASKIRA UBA,NGURTHLAVU KOPA,10209
BORNO,"""01",ASKIRA UBA,RUMIRGU CHUL,10210
BORNO,"""01",ASKIRA UBA,UBA,10211
BORNO,"""01",ASKIRA UBA,UVU UDA,10212
BORNO,"""01",ASKIRA UBA,WAMDEO GIWI,10213
BORNO,"""01",BAMA,ABBARAM,10301
BORNO,"""01",BAMA,AMCHAKA,10302
BORNO,"""01",BAMA,ANDARA,10303
BORNO,"""01",BAMA,BANKI,10304
BORNO,"""01",BAMA,BOGOMARI,10305
BORNO,"""01",BAMA,DIPCHARI,10306
BORNO,"""01",BAMA,GONIRI,10307
BORNO,"""01",BAMA,GULUMBA,10308
BORNO,"""01",BAMA,KASUGULA,10309
BORNO,"""01",BAMA,KUMSHE,10310
BORNO,"""01",BAMA,SHEHURI,10311
BORNO,"""01",BAMA,SOYE,10312
BORNO,"""01",BAMA,YABIRI,10313
BORNO,"""01",BAMA,ZAGERI,10314
BORNO,"""01",BAYO,BALBAYA,10401
BORNO,"""01",BAYO,BRIYEL,10402
BORNO,"""01",BAYO,FIKAYEL,10403
BORNO,"""01",BAYO,GAMAD,10404
BORNO,"""01",BAYO,GARAD,10405
BORNO,"""01",BAYO,GARAG,10406
BORNO,"""01",BAYO,LIMANTI,10407
BORNO,"""01",BAYO,TELLI,10408
BORNO,"""01",BAYO,WUYO,10409
BORNO,"""01",BAYO,ZARA,10410
BORNO,"""01",BIU,BURATAI,10501
BORNO,"""01",BIU,DUGJA,10502
BORNO,"""01",BIU,GALDIMARE,10503
BORNO,"""01",BIU,GARUBULA,10504
BORNO,"""01",BIU,GUNDA,10505
BORNO,"""01",BIU,GUR,10506
BORNO,"""01",BIU,MANDARAGIRAU,10507
BORNO,"""01",BIU,MIRINGA,10508
BORNO,"""01",BIU,SULUMTHLA,10509
BORNO,"""01",BIU,YAWI,10510
BORNO,"""01",BIU,ZARAWUYAKU,10511
BORNO,"""01",CHIBOK,GARU,10601
BORNO,"""01",CHIBOK,GATAMARWA,10602
BORNO,"""01",CHIBOK,KAUTIKARI,10603
BORNO,"""01",CHIBOK,KUBURMBULA,10604
BORNO,"""01",CHIBOK,KORONGILUM,10605
BORNO,"""01",CHIBOK,LIKAMA,10606
BORNO,"""01",CHIBOK,MBALALA,10607
BORNO,"""01",CHIBOK,MBOKURA,10608
BORNO,"""01",CHIBOK,PEMI,10609
BORNO,"""01",CHIBOK,SHIRARKIR,10610
BORNO,"""01",CHIBOK,WHUNTAKU,10611
BORNO,"""01",DAMBOA,AZIR MULTE,10701
BORNO,"""01",DAMBOA,BEGO,10702
BORNO,"""01",DAMBOA,DAMBOA CENTRAL,10703
BORNO,"""01",DAMBOA,FA MAFI,10704
BORNO,"""01",DAMBOA,MULGO KOPCHI,10705
BORNO,"""01",DAMBOA,NZUDA WUYARAM,10706
BORNO,"""01",DAMBOA,WAWA KORODE,10707
BORNO,"""01",DAMBOA,AJIGIN A',10708
BORNO,"""01",DAMBOA,AJIGIN B',10709
BORNO,"""01",DAMBOA,GUMSURI,10710
BORNO,"""01",DIKWA,AFUYE,10801
BORNO,"""01",DIKWA,BOBOSHE,10802
BORNO,"""01",DIKWA,DIKWA,10803
BORNO,"""01",DIKWA,GAJIBO,10804
BORNO,"""01",DIKWA,MARGATA,10805
BORNO,"""01",DIKWA,M. MAJA,10806
BORNO,"""01",DIKWA,M. KAZA,10807
BORNO,"""01",DIKWA,MULIYE,10808
BORNO,"""01",DIKWA,NGUDORAM,10809
BORNO,"""01",DIKWA,UFAYE,10810
BORNO,"""01",GUBIO,ARDIMINI,10901
BORNO,"""01",GUBIO,DABIRA,10902
BORNO,"""01",GUBIO,FELO,10903
BORNO,"""01",GUBIO,GAMAWU,10904
BORNO,"""01",GUBIO,GAZABURE,10905
BORNO,"""01",GUBIO,GUBIO 1,10906
BORNO,"""01",GUBIO,GUBIO 2,10907
BORNO,"""01",GUBIO,KINGOWA,10908
BORNO,"""01",GUBIO,NGETRA,10909
BORNO,"""01",GUBIO,ZOWO,10910
BORNO,"""01",GUZAMALA,ADUWA,11001
BORNO,"""01",GUZAMALA,GUDUMBALI WEST,11002
BORNO,"""01",GUZAMALA,GUZAMALA EAST,11003
BORNO,"""01",GUZAMALA,GUZAMALA WEST,11004
BORNO,"""01",GUZAMALA,KINGARAWA ,11005
BORNO,"""01",GUZAMALA,MAIRARI,11006
BORNO,"""01",GUZAMALA,WAMIRI,11007
